year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
2017,23990,145.0,42.2,0,0,0,1,0,0,0,1
2019,28660,145.0,57.7,1,0,0,0,1,0,0,0
2017,19490,125.0,60.1,1,0,0,0,0,0,0,1
2017,21770,20.0,67.3,1,0,0,0,0,0,0,1
2019,25990,145.0,56.5,1,0,0,0,0,0,0,1
2019,28660,145.0,54.3,1,0,0,0,1,0,0,0
2017,22590,30.0,65.7,1,0,0,0,0,0,0,1
2017,22770,145.0,65.7,1,0,0,0,1,0,0,0
2015,16480,30.0,64.2,1,0,0,0,1,0,0,0
2018,27698,145.0,54.3,1,0,0,0,0,0,0,1
2017,16499,150.0,50.4,0,0,0,1,0,0,0,1
2019,19895,145.0,46.3,0,0,0,1,0,0,0,1
2019,27595,145.0,56.5,1,0,0,0,0,0,0,1
2019,25795,145.0,58.9,1,0,0,0,0,0,0,1
2019,24499,145.0,44.1,0,0,0,1,0,0,0,1
2019,30495,145.0,44.1,0,0,0,1,0,0,0,1
2019,29999,145.0,55.4,1,0,0,0,0,0,0,1
2018,27495,145.0,57.7,1,0,0,0,0,0,0,1
2019,21795,145.0,46.3,0,0,0,1,0,1,0,0
2013,9881,160.0,46.3,0,0,0,1,1,0,0,0
2015,13498,125.0,53.3,0,0,0,1,0,1,0,0
2019,24450,145.0,64.2,1,0,0,0,0,0,0,1
2015,17450,30.0,64.2,1,0,0,0,0,0,0,1
2016,14450,20.0,65.7,1,0,0,0,0,0,0,1
2017,24990,145.0,61.4,1,0,0,0,0,0,0,1
2015,16440,20.0,64.2,1,0,0,0,0,0,0,1
2014,9891,125.0,57.7,1,0,0,0,0,0,0,1
2015,16998,125.0,52.3,0,0,0,1,0,0,0,1
2015,16710,30.0,64.2,1,0,0,0,0,0,0,1
2017,22495,145.0,67.3,1,0,0,0,1,0,0,0
2017,21565,145.0,47.1,0,0,0,1,1,0,0,0
2017,21697,145.0,47.1,0,0,0,1,0,0,0,1
2016,20990,30.0,64.2,1,0,0,0,0,0,0,1
2016,14770,125.0,53.3,0,0,0,1,0,0,0,1
2015,13448,20.0,65.7,1,0,0,0,0,0,0,1
2014,15998,30.0,64.2,1,0,0,0,0,0,0,1
2018,27498,145.0,54.3,1,0,0,0,0,0,0,1
2016,19498,0.0,134.5,0,1,0,0,0,0,0,1
2017,22498,20.0,67.3,1,0,0,0,0,0,0,1
2016,20105,30.0,64.2,1,0,0,0,1,0,0,0
2016,14220,20.0,65.7,1,0,0,0,0,0,0,1
2017,22260,30.0,64.2,1,0,0,0,0,0,0,1
2014,16990,30.0,64.2,1,0,0,0,0,0,0,1
2019,41880,145.0,29.7,0,0,0,1,1,0,0,0
2019,30990,145.0,55.4,1,0,0,0,1,0,0,0
2019,28880,145.0,46.3,0,0,0,1,1,0,0,0
2019,28990,145.0,64.2,1,0,0,0,1,0,0,0
2016,18700,125.0,58.9,1,0,0,0,0,0,0,1
2017,17440,125.0,61.4,1,0,0,0,0,0,0,1
2016,17770,20.0,64.2,1,0,0,0,0,0,0,1
2017,18433,145.0,61.4,1,0,0,0,0,0,0,1
2016,21440,20.0,67.3,1,0,0,0,0,0,0,1
2017,22170,145.0,67.3,1,0,0,0,0,0,0,1
2017,21115,145.0,67.3,1,0,0,0,0,0,0,1
2019,21497,145.0,64.2,1,0,0,0,0,0,0,1
2019,28400,145.0,56.5,1,0,0,0,0,0,0,1
2016,22765,30.0,65.7,1,0,0,0,1,0,0,0
2018,22880,145.0,67.3,1,0,0,0,0,0,0,1
2019,22455,145.0,44.1,0,0,0,1,1,0,0,0
2017,17330,145.0,64.2,1,0,0,0,0,0,0,1
2017,18795,20.0,67.3,1,0,0,0,1,0,0,0
2016,15220,20.0,65.7,1,0,0,0,0,0,0,1
2017,21440,145.0,61.4,1,0,0,0,0,0,0,1
2017,20200,145.0,61.4,1,0,0,0,0,0,0,1
2018,19660,145.0,65.7,1,0,0,0,0,0,0,1
2017,22990,145.0,67.3,1,0,0,0,0,0,0,1
2018,22770,145.0,67.3,1,0,0,0,0,0,0,1
2018,19775,145.0,67.3,1,0,0,0,0,0,0,1
2017,24660,20.0,67.3,1,0,0,0,0,0,0,1
2017,33495,300.0,33.6,0,0,0,1,0,0,0,1
2019,26890,145.0,42.2,0,0,0,1,0,0,0,1
2019,26885,145.0,42.2,0,0,0,1,0,0,0,1
2019,34790,145.0,57.7,1,0,0,0,0,0,0,1
2017,18495,145.0,48.7,0,0,0,1,0,0,0,1
2016,15699,20.0,65.7,1,0,0,0,0,0,0,1
2017,18499,30.0,64.2,1,0,0,0,0,0,0,1
2018,24799,145.0,47.1,0,0,0,1,0,0,0,1
2017,18995,145.0,61.4,1,0,0,0,1,0,0,0
2014,15280,20.0,64.2,1,0,0,0,0,0,0,1
2014,14795,125.0,52.3,0,0,0,1,1,0,0,0
2018,19840,145.0,61.4,1,0,0,0,1,0,0,0
2014,13791,20.0,64.2,1,0,0,0,0,0,0,1
2017,24360,145.0,65.7,1,0,0,0,0,0,0,1
2016,16990,30.0,64.2,1,0,0,0,0,0,0,1
2016,17990,30.0,61.4,1,0,0,0,0,0,0,1
2014,14990,30.0,64.2,1,0,0,0,0,0,0,1
2016,15990,30.0,65.7,1,0,0,0,0,0,0,1
2017,16998,30.0,65.7,1,0,0,0,0,0,0,1
2016,21495,125.0,60.1,1,0,0,0,0,0,0,1
2016,20995,30.0,64.2,1,0,0,0,0,0,0,1
2018,20495,145.0,60.1,1,0,0,0,0,0,0,1
2019,24736,145.0,64.2,1,0,0,0,0,0,0,1
2017,21595,145.0,67.3,1,0,0,0,0,0,0,1
2017,21295,30.0,65.7,1,0,0,0,0,0,0,1
2016,19995,30.0,64.2,1,0,0,0,0,0,0,1
2017,23495,30.0,65.7,1,0,0,0,0,0,0,1
2016,15490,30.0,65.7,1,0,0,0,0,0,0,1
2017,17000,145.0,64.2,1,0,0,0,0,0,0,1
2017,16402,125.0,53.3,0,0,0,1,1,0,0,0
2019,20682,145.0,64.2,1,0,0,0,1,0,0,0
2018,29232,145.0,54.3,1,0,0,0,0,0,0,1
2015,14698,125.0,52.3,0,0,0,1,0,0,0,1
2014,14288,30.0,64.2,1,0,0,0,0,0,0,1
2018,18265,145.0,64.2,1,0,0,0,0,0,0,1
2014,15971,125.0,52.3,0,0,0,1,0,0,0,1
2017,19465,145.0,47.9,0,0,0,1,1,0,0,0
2017,16210,145.0,64.2,1,0,0,0,0,0,0,1
2016,16990,30.0,64.2,1,0,0,0,0,0,0,1
2017,20990,150.0,48.7,0,0,0,1,0,0,0,1
2016,17699,125.0,52.3,0,0,0,1,0,0,0,1
2017,18495,145.0,61.4,1,0,0,0,0,0,0,1
2019,28995,145.0,46.3,0,0,0,1,0,0,0,1
2016,14495,30.0,64.2,1,0,0,0,1,0,0,0
2014,13950,20.0,64.2,1,0,0,0,0,0,0,1
2014,12750,30.0,62.8,1,0,0,0,0,0,0,1
2016,19495,0.0,74.3,0,1,0,0,1,0,0,0
2016,18995,30.0,64.2,1,0,0,0,0,0,0,1
2018,19950,145.0,64.2,1,0,0,0,0,0,0,1
2017,19498,30.0,60.1,1,0,0,0,0,0,0,1
2014,16360,30.0,64.2,1,0,0,0,0,0,0,1
2017,16767,145.0,64.2,1,0,0,0,1,0,0,0
2014,10190,150.0,56.5,1,0,0,0,0,0,0,1
2018,19298,2.0,134.5,0,1,0,0,0,0,0,1
