,year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
361,2015,16998,125.0,52.3,0,0,0,1,0,0,0,1
362,2015,16710,30.0,64.2,1,0,0,0,0,0,0,1
363,2017,22495,145.0,67.3,1,0,0,0,1,0,0,0
364,2017,21565,145.0,47.1,0,0,0,1,1,0,0,0
365,2017,21697,145.0,47.1,0,0,0,1,0,0,0,1
366,2016,20990,30.0,64.2,1,0,0,0,0,0,0,1
367,2016,14770,125.0,53.3,0,0,0,1,0,0,0,1
368,2015,13448,20.0,65.7,1,0,0,0,0,0,0,1
369,2014,15998,30.0,64.2,1,0,0,0,0,0,0,1
370,2018,27498,145.0,54.3,1,0,0,0,0,0,0,1
371,2016,19498,0.0,134.5,0,1,0,0,0,0,0,1
372,2017,22498,20.0,67.3,1,0,0,0,0,0,0,1
373,2016,20105,30.0,64.2,1,0,0,0,1,0,0,0
374,2016,14220,20.0,65.7,1,0,0,0,0,0,0,1
375,2017,22260,30.0,64.2,1,0,0,0,0,0,0,1
376,2014,16990,30.0,64.2,1,0,0,0,0,0,0,1
377,2019,41880,145.0,29.7,0,0,0,1,1,0,0,0
378,2019,30990,145.0,55.4,1,0,0,0,1,0,0,0
379,2019,28880,145.0,46.3,0,0,0,1,1,0,0,0
380,2019,28990,145.0,64.2,1,0,0,0,1,0,0,0
381,2016,18700,125.0,58.9,1,0,0,0,0,0,0,1
382,2017,17440,125.0,61.4,1,0,0,0,0,0,0,1
383,2016,17770,20.0,64.2,1,0,0,0,0,0,0,1
384,2017,18433,145.0,61.4,1,0,0,0,0,0,0,1
385,2016,21440,20.0,67.3,1,0,0,0,0,0,0,1
386,2017,22170,145.0,67.3,1,0,0,0,0,0,0,1
387,2017,21115,145.0,67.3,1,0,0,0,0,0,0,1
388,2019,21497,145.0,64.2,1,0,0,0,0,0,0,1
389,2019,28400,145.0,56.5,1,0,0,0,0,0,0,1
390,2016,22765,30.0,65.7,1,0,0,0,1,0,0,0
391,2018,22880,145.0,67.3,1,0,0,0,0,0,0,1
392,2019,22455,145.0,44.1,0,0,0,1,1,0,0,0
393,2017,17330,145.0,64.2,1,0,0,0,0,0,0,1
394,2017,18795,20.0,67.3,1,0,0,0,1,0,0,0
395,2016,15220,20.0,65.7,1,0,0,0,0,0,0,1
396,2017,21440,145.0,61.4,1,0,0,0,0,0,0,1
397,2017,20200,145.0,61.4,1,0,0,0,0,0,0,1
398,2018,19660,145.0,65.7,1,0,0,0,0,0,0,1
399,2017,22990,145.0,67.3,1,0,0,0,0,0,0,1
400,2018,22770,145.0,67.3,1,0,0,0,0,0,0,1
401,2018,19775,145.0,67.3,1,0,0,0,0,0,0,1
402,2017,24660,20.0,67.3,1,0,0,0,0,0,0,1
403,2017,33495,300.0,33.6,0,0,0,1,0,0,0,1
404,2019,26890,145.0,42.2,0,0,0,1,0,0,0,1
405,2019,26885,145.0,42.2,0,0,0,1,0,0,0,1
406,2019,34790,145.0,57.7,1,0,0,0,0,0,0,1
407,2017,18495,145.0,48.7,0,0,0,1,0,0,0,1
408,2016,15699,20.0,65.7,1,0,0,0,0,0,0,1
409,2017,18499,30.0,64.2,1,0,0,0,0,0,0,1
410,2018,24799,145.0,47.1,0,0,0,1,0,0,0,1
411,2017,18995,145.0,61.4,1,0,0,0,1,0,0,0
412,2014,15280,20.0,64.2,1,0,0,0,0,0,0,1
413,2014,14795,125.0,52.3,0,0,0,1,1,0,0,0
414,2018,19840,145.0,61.4,1,0,0,0,1,0,0,0
415,2014,13791,20.0,64.2,1,0,0,0,0,0,0,1
416,2017,24360,145.0,65.7,1,0,0,0,0,0,0,1
417,2016,16990,30.0,64.2,1,0,0,0,0,0,0,1
418,2016,17990,30.0,61.4,1,0,0,0,0,0,0,1
419,2014,14990,30.0,64.2,1,0,0,0,0,0,0,1
420,2016,15990,30.0,65.7,1,0,0,0,0,0,0,1
421,2017,16998,30.0,65.7,1,0,0,0,0,0,0,1
422,2016,21495,125.0,60.1,1,0,0,0,0,0,0,1
423,2016,20995,30.0,64.2,1,0,0,0,0,0,0,1
424,2018,20495,145.0,60.1,1,0,0,0,0,0,0,1
425,2019,24736,145.0,64.2,1,0,0,0,0,0,0,1
426,2017,21595,145.0,67.3,1,0,0,0,0,0,0,1
427,2017,21295,30.0,65.7,1,0,0,0,0,0,0,1
